savings_rate,rent_delays,utility_delays,active_subscriptions,debt_to_income,credit_score,likelihood_label
21.47699907107863,1,1,5,49.181273219231585,482,0
17.03214989180171,1,1,8,34.15721944165974,473,0
22.53381976670485,2,2,6,15.014052210493947,629,2
28.661208994856178,2,2,9,0.0,652,2
16.360926376936646,3,2,4,13.620510154674863,552,1
16.361041301355737,0,2,0,30.614722354446346,552,1
29.054489708551742,1,2,1,22.367270547245184,653,2
23.37204310407036,4,1,4,19.262814902880976,586,1
14.713679298455336,2,2,3,17.76610797675537,582,1
21.79792030510175,1,0,4,33.29826365829095,583,1
14.756076150312765,2,1,9,21.688830412953205,569,1
14.739891725008203,1,2,1,20.64869309968217,517,1
19.69373590096224,3,2,10,34.94498401412033,471,0
4.607038287395415,3,3,3,40.62012376959255,393,0
5.92557517240877,6,0,2,13.861298785410664,522,1
14.063987295313192,1,2,5,36.78141075959141,472,0
10.910182157659033,3,0,10,23.895264958369054,548,1
20.199731328166916,1,4,3,34.18190112020206,522,1
11.643831471351524,4,2,4,31.555794328509236,432,0
8.11387409065296,2,1,4,25.200307975214987,466,0
28.259541382450877,3,2,9,25.62359192815081,588,1
16.41956589659425,1,0,4,31.68271218404768,524,1
18.472697432815465,2,0,7,14.035130994805154,594,1
8.026762696505802,2,3,6,13.572008572340572,521,1
14.18932092832372,2,1,5,45.809138644413295,449,0
18.77645812796906,1,0,4,36.67696311511225,581,1
9.943044958043881,4,1,11,34.924466500289576,432,0
20.629886128419702,1,0,14,23.43847603973346,561,1
13.795529170568365,1,0,3,8.611352781581633,601,2
15.958143751447063,2,4,2,19.69780745331321,576,1
13.788053714394222,2,1,6,29.10061177385358,494,0
30.965947291562564,5,5,0,36.508200474191426,513,1
17.905519426834463,0,2,6,29.28329406205718,554,1
10.596023497308698,0,2,12,29.562870816556114,506,1
23.757814384722323,2,1,4,23.285850182013256,624,2
9.454094450202845,1,1,9,31.497339456925204,490,0
19.462045165033288,4,3,10,15.909154946262944,553,1
4.28230913284157,4,0,3,26.242371822455794,460,0
8.702697657710987,2,1,6,22.706078778341794,493,0
19.378028651083866,1,2,7,39.45402575474863,512,1
23.169266059967875,1,0,8,0.0,680,2
19.199577968329795,4,0,8,23.48309145472331,506,1
17.190462023282315,1,0,9,27.492267183939752,566,1
15.892274130874979,8,1,3,6.464589224854699,537,1
7.650346067428009,0,1,6,32.40510701266987,499,0
12.96109054123704,1,0,10,23.683994262268953,540,1
14.775528603281487,3,1,10,15.460471000816813,542,1
25.39985558353241,1,2,6,35.185060511715456,524,1
20.40532802697923,3,2,4,17.56183820287451,522,1
5.658718912460863,2,0,9,33.085530787863775,472,0
20.268587785763565,2,1,7,26.866381031427764,571,1
15.304424037085784,1,2,7,20.90023095369397,545,1
13.261545997858288,2,3,8,14.90650232050367,574,1
22.281734021886074,0,1,3,17.86518558142491,647,2
25.216996657471658,1,5,8,33.79789116456584,530,1
24.518960833813388,0,1,6,36.530394724096666,617,2
12.12547733744153,5,1,9,31.9490035673061,404,0
15.835513369041498,4,1,6,24.708208159349095,505,1
20.318844019824947,3,0,7,31.92883802050841,503,1
24.828815889856514,1,2,7,28.163760181928698,565,1
14.645780335082971,2,1,4,18.98061062152914,554,1
16.70038716335328,1,1,3,15.840202266105962,596,1
10.255655181957803,4,0,8,21.86406862069177,466,0
9.626553631435304,1,2,3,18.653680743374693,539,1
23.687680756759384,0,2,4,26.29836864977306,576,1
27.493680199995758,3,0,4,41.06201343378517,563,1
17.495929148937662,1,1,7,27.798730314768612,565,1
25.024730285244168,3,3,8,39.69193731971238,496,0
20.53145217533344,0,1,1,25.005227782536352,589,1
13.484161717764131,2,2,3,23.32228473665633,528,1
20.5297692385589,2,1,3,9.849704682953384,645,2
28.766255965261784,1,0,5,31.397903574428867,599,1
17.749217726230338,3,3,0,18.439080190742857,509,1
28.952505590698046,3,1,9,16.39369847683159,638,2
0.0,1,2,6,14.868398993795575,506,1
23.753317530626568,1,8,5,28.538909402141925,519,1
18.6093294776672,3,0,8,19.220795705746934,545,1
15.906948546738928,1,3,7,41.46711046807593,486,0
18.642325435748518,0,3,7,36.19013989030705,542,1
4.08701759779375,1,2,5,19.658558502521323,505,1
16.462296785137415,3,1,6,1.258637961744835,608,2
20.499788000582225,4,0,8,26.183803160694232,522,1
28.345258313190612,2,1,7,21.899518424315396,604,2
14.372108472084468,0,0,11,33.89925050251166,510,1
12.340544779747686,2,3,6,25.13460964976476,486,0
14.487700694908245,1,5,7,36.50949580766334,462,0
24.40781482391452,3,1,5,29.932752848379085,571,1
20.30125776761779,2,1,6,12.233186015032402,647,2
14.291678573630728,2,0,7,17.53057910199703,541,1
21.592872031793494,2,0,4,20.455484589931864,580,1
18.679542845436284,0,1,4,23.315463910622203,612,2
24.780514933730224,3,2,7,22.303526860907745,545,1
13.085628342858534,2,1,7,32.18429829788174,460,0
15.706364973815623,0,2,10,30.028056277606197,502,1
15.255242928074896,2,2,6,20.788607861714322,534,1
7.75539536307517,2,2,3,31.627526151793845,501,1
20.072841939452033,2,1,6,13.288678225469647,602,2
19.827386905259225,2,1,8,31.991411827369006,531,1
18.035794196497225,3,2,0,33.6896309791605,469,0
16.357890066373972,1,1,5,27.754977228889725,570,1
8.0924048056471,2,1,7,30.256897839134446,491,0
15.055482740642486,2,3,6,31.571327865774748,472,0
15.600998384312614,3,1,4,35.477188940366275,463,0
12.384059115448668,2,3,2,32.4181978941833,498,0
16.871000018337938,4,1,5,37.075007540386,458,0
20.82835599770177,2,2,2,9.27060657832461,606,2
31.203301308473712,1,3,8,26.32439304359104,596,1
19.222044689822873,1,0,6,24.540536267734552,586,1
19.80285273505935,0,1,10,26.522501285958906,591,1
17.478878589636828,2,2,0,34.009334642142,518,1
4.56860149290671,4,2,4,26.28994161237473,438,0
17.81440287185548,1,1,8,25.885619438486668,547,1
18.421611469587184,0,3,9,29.67034792317592,538,1
35.242694787397,2,1,8,9.933970815414213,688,2
16.653473246532144,0,4,3,40.56027436994157,476,0
20.110831396335286,0,2,4,23.95247369310673,622,2
